,Depressive disorder NEC,Urin tract infection NOS,Old myocardial infarct,Ac posthemorrhag anemia,Hyperlipidemia NEC/NOS,Crnry athrscl natve vssl,Hy kid NOS w cr kid I-IV,Hypothyroidism NOS,Long-term use anticoagul,Obstructive sleep apnea,Acute respiratry failure,Atrial fibrillation,Hyp kid NOS w cr kid V,Septicemia NOS,Chr airway obstruct NEC,Pneumonia,Anemia NOS,Long-term use of insulin,Severe sepsis,Food/vomit pneumonitis, organism NOS,End stage renal disease,DMII wo cmp nt st uncntr,Esophageal reflux,Aortocoronary bypass,Chronic kidney dis NOS,Pure hypercholesterolem,CHF NOS,Acute kidney failure NOS,Hypertension NOS,Acidosis
Depressive disorder NEC,5611.0,79.0,45.0,62.0,368.0,109.0,42.0,240.0,49.0,101.0,60.0,134.0,19.0,7.0,67.0,0.0,207.0,68.0,64.0,39.0,43.0,16.0,150.0,347.0,33.0,64.0,168.0,120.0,70.0,535.0,93.0
Urin tract infection NOS,102.0,8093.0,75.0,305.0,167.0,222.0,27.0,124.0,108.0,39.0,521.0,448.0,131.0,249.0,139.0,0.0,172.0,71.0,160.0,328.0,368.0,85.0,125.0,183.0,69.0,85.0,150.0,449.0,924.0,397.0,285.0
Old myocardial infarct,58.0,35.0,4270.0,38.0,280.0,898.0,40.0,90.0,56.0,37.0,10.0,179.0,22.0,4.0,66.0,0.0,76.0,39.0,15.0,2.0,17.0,4.0,169.0,127.0,175.0,54.0,180.0,159.0,26.0,396.0,23.0
Ac posthemorrhag anemia,129.0,257.0,67.0,4124.0,180.0,193.0,39.0,110.0,126.0,45.0,266.0,257.0,107.0,56.0,89.0,0.0,168.0,60.0,74.0,137.0,167.0,67.0,131.0,157.0,70.0,67.0,123.0,258.0,502.0,398.0,201.0
Hyperlipidemia NEC/NOS,114.0,83.0,214.0,104.0,8311.0,699.0,243.0,317.0,152.0,162.0,38.0,485.0,48.0,14.0,169.0,0.0,217.0,174.0,61.0,19.0,39.0,22.0,673.0,394.0,139.0,270.0,63.0,337.0,71.0,3249.0,59.0
Crnry athrscl natve vssl,269.0,438.0,377.0,346.0,676.0,11319.0,181.0,325.0,351.0,144.0,200.0,1012.0,174.0,58.0,373.0,0.0,478.0,202.0,195.0,118.0,221.0,87.0,643.0,507.0,261.0,273.0,575.0,1394.0,427.0,1566.0,275.0
Hy kid NOS w cr kid I-IV,40.0,130.0,67.0,87.0,206.0,277.0,4174.0,71.0,85.0,53.0,28.0,310.0,0.0,13.0,104.0,0.0,68.0,87.0,100.0,14.0,27.0,1.0,217.0,84.0,61.0,389.0,64.0,470.0,215.0,30.0,120.0
Hypothyroidism NOS,119.0,153.0,67.0,91.0,443.0,256.0,77.0,6085.0,103.0,118.0,62.0,343.0,52.0,15.0,107.0,0.0,184.0,83.0,104.0,51.0,71.0,19.0,327.0,254.0,65.0,124.0,259.0,273.0,91.0,856.0,86.0
Long-term use anticoagul,97.0,75.0,125.0,98.0,262.0,129.0,36.0,164.0,5244.0,94.0,28.0,888.0,23.0,6.0,77.0,0.0,133.0,77.0,42.0,17.0,24.0,12.0,157.0,198.0,163.0,77.0,127.0,194.0,42.0,383.0,33.0
Obstructive sleep apnea,75.0,48.0,38.0,44.0,219.0,97.0,45.0,78.0,66.0,4488.0,43.0,137.0,11.0,5.0,124.0,0.0,55.0,53.0,35.0,23.0,28.0,13.0,148.0,151.0,30.0,72.0,93.0,193.0,52.0,344.0,50.0
